STATION,NAME,DATE,Month,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/20/2016,January,4.92,",,W",,,,,,,0.02,",,W,2400",0.6,",,W",3,",,W",17,"H,,S",22,",,W",11,",,W",,,180,",,W",180,",,W",,,,,10.1,",,W",13,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/21/2016,January,6.26,",,W",,,,,,,0.04,",,W,2400",0.6,",,W",3,",,W",21,"H,,S",25,",,W",18,",,W",,,200,",,W",200,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/22/2016,January,6.49,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",3,",,W",25,"H,,S",31,",,W",16,",,W",,,40,",,W",40,",,W",,,,,17,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/23/2016,January,6.71,",,W",,,,,,,0,",,W,2400",0,",,W",3,",,W",23,"H,,S",34,",,W",16,",,W",,,20,",,W",10,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/24/2016,January,10.29,",,W",,,,,,,0,",,W,2400",0,",,W",3,",,W",24,"H,,S",29,",,W",16,",,W",,,250,",,W",200,",,W",,,,,21,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/25/2016,January,9.4,",,W",,,,,,,0.07,",,W,2400",0,",,W",3,",,W",30,"H,,S",38,",,W",22,",,W",,,190,",,W",200,",,W",,,,,18.1,",,W",21,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/26/2016,January,15.88,",,W",,,,,,,0.2,",,W,2400",2.2,",,W",1,",,W",36,"H,,S",41,",,W",30,",,W",,,240,",,W",230,",,W",,,,,30,",,W",36.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/27/2016,January,12.3,",,W",,,,,,,0.04,",,W,2400",1.2,",,W",3,",,W",29,"H,,S",31,",,W",25,",,W",,,200,",,W",210,",,W",,,,,21,",,W",27.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/28/2016,January,14.99,",,W",,,,,,,0.1,",,W,2400",0.4,",,W",2,",,W",31,"H,,S",35,",,W",27,",,W",,,330,",,W",190,",,W",,,,,21.9,",,W",30,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/29/2016,January,10.29,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",2,",,W",26,"H,,S",31,",,W",21,",,W",,,340,",,W",350,",,W",,,,,23.9,",,W",28,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/30/2016,January,10.96,",,W",,,,,,,0,",,W,2400",0,",,W",1,",,W",35,"H,,S",43,",,W",29,",,W",,,260,",,W",210,",,W",,,,,17,",,W",23.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",1/31/2016,January,7.83,",,W",,,,,,,0.21,",,W,2400",0,",,W",0,"T,,W",40,"H,,S",47,",,W",36,",,W",,,300,",,W",290,",,W",,,,,19.9,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/1/2016,February,6.71,",,W",,,,,,,0,"T,,W,2400",0,",,W",0,"T,,W",38,"H,,S",42,",,W",27,",,W",,,250,",,W",290,",,W",,,,,15,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/2/2016,February,14.09,",,W",,,,,,,1.55,",,W,2400",0,"T,,W",0,"T,,W",31,"H,,S",36,",,W",24,",,W",,,80,",,W",70,",,W",,,,,30,",,W",38.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/3/2016,February,12.3,",,W",,,,,,,0.02,",,W,2400",0,"T,,W",0,",,W",36,"H,,S",40,",,W",32,",,W",,,240,",,W",230,",,W",,,,,30,",,W",40,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/4/2016,February,9.17,",,W",,,,,,,0.04,",,W,2400",0.8,",,W",0,"T,,W",30,"H,,S",32,",,W",20,",,W",,,260,",,W",260,",,W",,,,,17,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/5/2016,February,6.71,",,W",,,,,,,0.02,",,W,2400",0.2,",,W",0,"T,,W",26,"H,,S",32,",,W",21,",,W",,,250,",,W",250,",,W",,,,,14.1,",,W",16.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/6/2016,February,10.07,",,W",,,,,,,0,",,W,2400",0,"T,,W",0,"T,,W",28,"H,,S",35,",,W",19,",,W",,,230,",,W",230,",,W",,,,,21.9,",,W",25.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/7/2016,February,11.18,",,W",,,,,,,0,",,W,2400",0,",,W",0,"T,,W",37,"H,,S",45,",,W",31,",,W",,,230,",,W",230,",,W",,,,,21,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/8/2016,February,7.38,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,",,W",35,"H,,S",41,",,W",26,",,W",,,260,",,W",260,",,W",,,,,14.1,",,W",16.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/9/2016,February,14.76,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,",,W",29,"H,,S",33,",,W",21,",,W",,,300,",,W",300,",,W",,,,,21,",,W",25.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/10/2016,February,14.32,",,W",,,,,,,0,"T,,W,2400",0.1,",,W",0,"T,,W",20,"H,,S",22,",,W",14,",,W",,,310,",,W",320,",,W",,,,,23.9,",,W",29.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/11/2016,February,10.07,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,"T,,W",17,"H,,S",25,",,W",14,",,W",,,270,",,W",290,",,W",,,,,16.1,",,W",23.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/12/2016,February,14.32,",,W",,,,,,,0.04,",,W,2400",1,",,W",0,"T,,W",18,"H,,S",22,",,W",7,",,W",,,320,",,W",300,",,W",,,,,25.9,",,W",33.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/13/2016,February,10.07,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,"T,,W",10,"H,,S",17,",,W",3,",,W",,,300,",,W",290,",,W",,,,,21,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/14/2016,February,9.62,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,"T,,W",11,"H,,S",20,",,W",1,",,W",,,140,",,W",110,",,W",,,,,19.9,",,W",25.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/15/2016,February,8.28,",,W",,,,,,,0.05,",,W,2400",0.6,",,W",1,",,W",19,"H,,S",27,",,W",16,",,W",,,130,",,W",130,",,W",,,,,15,",,W",17,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/16/2016,February,4.03,",,W",,,,,,,0.03,",,W,2400",0.5,",,W",1,",,W",28,"H,,S",31,",,W",26,",,W",,,300,",,W",300,",,W",,,,,12.1,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/17/2016,February,7.38,",,W",,,,,,,0,",,W,2400",0,"T,,W",1,",,W",29,"H,,S",32,",,W",17,",,W",,,330,",,W",320,",,W",,,,,16.1,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/18/2016,February,10.51,",,W",,,,,,,0.01,",,W,2400",0,"T,,W",0,"T,,W",23,"H,,S",37,",,W",11,",,W",,,140,",,W",140,",,W",,,,,21.9,",,W",29.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/19/2016,February,24.61,",,W",,,,,,,0,",,W,2400",0,"T,,W",0,"T,,W",44,"H,,S",61,",,W",37,",,W",,,250,",,W",240,",,W",,,,,53,",,W",70,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/20/2016,February,15.43,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",47,"H,,S",52,",,W",37,",,W",,,250,",,W",250,",,W",,,,,35.1,",,W",42.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/21/2016,February,6.49,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",41,"H,,S",46,",,W",30,",,W",,,50,",,W",50,",,W",,,,,15,",,W",17,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/22/2016,February,8.05,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",0,",,W",35,"H,,S",41,",,W",29,",,W",,,140,",,W",130,",,W",,,,,16.1,",,W",19.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/23/2016,February,7.83,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",35,"H,,S",45,",,W",26,",,W",,,70,",,W",100,",,W",,,,,13,",,W",17,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/24/2016,February,17.22,",,W",,,,,,,0.65,",,W,2400",7.3,",,W",0,",,W",33,"H,,S",34,",,W",30,",,W",,,360,",,W",10,",,W",,,,,28,",,W",35.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/25/2016,February,17,",,W",,,,,,,0.16,",,W,2400",3.9,",,W",10,",,W",31,"H,,S",35,",,W",26,",,W",,,310,",,W",330,",,W",,,,,25.9,",,W",33.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/26/2016,February,8.5,",,W",,,,,,,0,"T,,W,2400",0,"T,,W",7,",,W",28,"H,,S",32,",,W",23,",,W",,,260,",,W",270,",,W",,,,,16.1,",,W",21,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/27/2016,February,14.32,",,W",,,,,,,0,",,W,2400",0,",,W",6,",,W",33,"H,,S",47,",,W",27,",,W",,,240,",,W",230,",,W",,,,,23.9,",,W",30,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/28/2016,February,14.99,",,W",,,,,,,0.21,",,W,2400",0.4,",,W",3,",,W",47,"H,,S",57,",,W",32,",,W",,,220,",,W",210,",,W",,,,,25.9,",,W",38.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2/29/2016,February,16.78,",,W",,,,,,,0,",,W,2400",0,",,W",0,"T,,W",36,"H,,S",40,",,W",25,",,W",,,240,",,W",250,",,W",,,,,32,",,W",42.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/1/2016,March,14.32,",,W",,,,,,,0.72,",,W,2400",7.4,",,W",2,",,W",23,"H,,S",25,",,W",19,",,W",,,340,",,W",340,",,W",,,,,21.9,",,W",30,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/2/2016,March,8.72,",,W",,,,,,,0.01,",,W,2400",0,"T,,W",7,",,W",22,"H,,S",28,",,W",11,",,W",,,270,",,W",270,",,W",,,,,18.1,",,W",23.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/3/2016,March,4.92,",,W",,,,,,,0.02,",,W,2400",0.4,",,W",6,",,W",18,"H,,S",28,",,W",9,",,W",,,100,",,W",100,",,W",,,,,10.1,",,W",11,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/4/2016,March,2.68,",,W",,,,,,,0.01,",,W,2400",0.2,",,W",5,",,W",22,"H,,S",36,",,W",6,",,W",,,190,",,W",180,",,W",,,,,8.9,",,W",14.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/5/2016,March,5.82,",,W",,,,,,,0.16,",,W,2400",2.1,",,W",5,",,W",29,"H,,S",35,",,W",25,",,W",,,60,",,W",30,",,W",,,,,12.1,",,W",13,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/6/2016,March,10.51,",,W",,,,,,,0,",,W,2400",0,",,W",5,",,W",29,"H,,S",44,",,W",19,",,W",,,190,",,W",190,",,W",,,,,18.1,",,W",25.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/7/2016,March,8.72,",,W",,,,,,,0,",,W,2400",0,",,W",3,",,W",47,"H,,S",60,",,W",40,",,W",,,200,",,W",210,",,W",,,,,18.1,",,W",23.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/8/2016,March,10.51,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",56,"H,,S",71,",,W",49,",,W",,,210,",,W",200,",,W",,,,,23,",,W",30,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/9/2016,March,11.41,",,W",,,,,,,0.04,",,W,2400",0,",,W",0,",,W",61,"H,,S",64,",,W",54,",,W",,,250,",,W",230,",,W",,,,,25.1,",,W",31.1,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/10/2016,March,7.61,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",51,"H,,S",54,",,W",39,",,W",,,320,",,W",310,",,W",,,,,15,",,W",17,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/11/2016,March,4.03,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",43,"H,,S",58,",,W",31,",,W",,,150,",,W",110,",,W",,,,,10.1,",,W",13,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/12/2016,March,3.13,",,W",,,,,,,0,",,W,2400",0,",,W",0,",,W",44,"H,,S",58,",,W",32,",,W",,,200,",,W",210,",,W",,,,,13,",,W",15,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/13/2016,March,12.97,",,W",,,,,,,0.72,",,W,2400",0,",,W",0,",,W",47,"H,,S",49,",,W",45,",,W",,,90,",,W",90,",,W",,,,,21.9,",,W",25.9,",,W"
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/14/2016,March,6.93,",,W",,,,,,,0.1,",,W,2400",0,",,W",0,",,W",48,"H,,S",53,",,W",40,",,W",,,250,",,W",240,",,W",,,,,15,",,W",17,",,W"
