YEAR,NAME,MONTH,SNOW
2016,"GRAND RAPIDS 2.5 ENE, MI US",12,3.16
2016,"GRAND RAPIDS 2.5 ENE, MI US",4,2.6666666666666665
2016,"GRAND RAPIDS 4.6 ESE, MI US",12,2.3899999999999997
